E:\ТЕКУЩАЯСМЕНА\358\1\2019-08-26\23_54_57.zip\23_54_57.fmt;;
 Начальное значение 26.08.2019 23:54:57;
Время;Тип;Сообщение
0:25:46;1;Изменение версии ПО ЦМК в секции 3 : 9.10
0:25:46;254;KM поставили в 0
0:28:24;2;С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
00:28:25.030;2;С3: Сработало реле земли(KV3( ВИП 1)) N=103 MASK=2
0:28:35;254;KM поставили в 0
0:29:00;2;С3: Сработало реле земли(KV3( ВИП 1)) N=103 MASK=2
0:29:00;2;С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
0:29:04;254;KM поставили в 0
0:34:21;3;Авария в С.3 - Бросок тока/Сраб.ВБ
0:34:23;1;Срабатывание ВБ (QF1-QF4)
0:34:29;254;Запись аварии
0:34:29;1;Изменение версии ПО ЦМК в секции 3 : 9.10
0:34:35;254;KM поставили в 0
0:34:51;2;С3: Сработало реле земли(KV3( ВИП 1)) N=103 MASK=2
0:34:51;2;С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
0:34:52;254;KM поставили в 0
00:35:11.000;2;С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
0:35:13;254;KM поставили в 0
0:35:37;2;С3: Сработало реле земли(KV1 (ВИП 2)) N=103 MASK=1
0:36:10;254;KM поставили в 0
